iteration,PG_cost,PGGL_cost
0,133310.0,133310.0
1,110432.0,110413.0
2,104147.0,104354.0
3,100072.0,100457.0
4,97197.0,97753.0
5,94677.0,95658.0
6,92905.0,93729.0
7,91440.0,92142.0
8,89970.0,90653.0
9,88590.0,89436.0
10,87414.0,88111.0
11,86243.0,87044.0
12,85296.0,85948.0
13,84366.0,85013.0
14,83497.0,84122.0
15,82593.0,83304.0
16,81869.0,82568.0
17,81165.0,81943.0
18,80468.0,81320.0
19,79834.0,80732.0
20,79305.0,80153.0
21,78763.0,79612.0
22,78273.0,79088.0
23,77764.0,78547.0
24,77320.0,78045.0
25,76896.0,77619.0
26,76447.0,77186.0
27,76031.0,76758.0
28,75617.0,76366.0
29,75261.0,75941.0
30,74923.0,75567.0
31,74606.0,75200.0
32,74299.0,74850.0
33,73982.0,74499.0
34,73679.0,74161.0
35,73369.0,73916.0
36,73138.0,73645.0
37,72921.0,73390.0
38,72719.0,73138.0
39,72523.0,72885.0
40,72308.0,72690.0
41,72097.0,72493.0
42,71887.0,72323.0
43,71672.0,72178.0
44,71506.0,72013.0
45,71349.0,71830.0
46,71188.0,71684.0
47,71022.0,71538.0
48,70893.0,71401.0
49,70736.0,71279.0
50,70630.0,71140.0
51,70489.0,71034.0
52,70351.0,70909.0
53,70212.0,70801.0
54,70100.0,70670.0
55,70001.0,70546.0
56,69895.0,70437.0
57,69779.0,70305.0
58,69670.0,70196.0
59,69578.0,70116.0
60,69491.0,70003.0
61,69400.0,69903.0
62,69333.0,69820.0
63,69259.0,69740.0
64,69167.0,69638.0
65,69085.0,69575.0
66,69015.0,69523.0
67,68951.0,69439.0
68,68859.0,69359.0
69,68787.0,69278.0
70,68724.0,69221.0
71,68662.0,69157.0
72,68599.0,69112.0
73,68561.0,69080.0
74,68519.0,69012.0
75,68472.0,68962.0
76,68426.0,68926.0
77,68379.0,68872.0
78,68321.0,68829.0
79,68280.0,68796.0
80,68239.0,68765.0
81,68184.0,68722.0
82,68133.0,68679.0
83,68080.0,68652.0
84,68045.0,68602.0
