circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
30,39,13,26,2,1.406045914
40,74,25,49,2,2.424585342
50,160,83,77,3,3.87443161
60,311,107,204,3,6.013764381
70,402,165,237,3,7.958600044
80,650,213,437,4,10.95986152
90,808,260,548,4,13.54578567
100,1169,386,783,5,19.78191447
30,43.0,0.0,43.0,2.0,1.9253065586090088
40,77.0,0.0,77.0,2.0,3.343528985977173
50,154.0,0.0,154.0,3.0,5.278888463973999
60,189.0,3.0,186.0,3.0,7.343573570251465
70,208.0,0.0,208.0,3.0,9.784103631973267
80,293.0,3.0,290.0,4.0,12.963197231292725
90,340.0,0.0,340.0,4.0,16.164766550064087
100,413.0,0.0,413.0,5.0,20.49429154396057
30,50.0,0.0,50.0,2.0,2.110032081604004
40,84.0,0.0,84.0,2.0,3.6731324195861816
50,171.0,0.0,171.0,3.0,5.828164100646973
60,207.0,0.0,207.0,3.0,8.151228904724121
70,231.0,2.0,229.0,3.0,11.003921747207642
80,329.0,7.0,322.0,4.0,14.524975776672363
90,400.0,11.0,389.0,4.0,18.156853199005127
100,459.0,4.0,455.0,5.0,22.701090335845947
30,37.0,4.0,33.0,2.0,2.357565402984619
40,76.0,15.0,61.0,2.0,4.130767583847046
50,152.0,31.0,121.0,3.0,6.710827827453613
60,248.0,41.0,207.0,3.0,9.117084980010986
70,330.0,57.0,273.0,3.0,12.37833857536316
80,431.0,66.0,365.0,4.0,16.21520757675171
90,516.0,79.0,437.0,4.0,20.333353519439697
100,745.0,129.0,616.0,5.0,25.591999292373657
30,28.0,0.0,28.0,2.0,2.3692026138305664
40,70.0,8.0,62.0,2.0,4.06671929359436
50,128.0,34.0,94.0,3.0,6.3742077350616455
60,210.0,32.0,178.0,3.0,9.052553176879883
70,352.0,66.0,286.0,3.0,12.255409240722656
80,426.0,76.0,350.0,4.0,16.245226621627808
90,605.0,151.0,454.0,4.0,20.328155279159546
100,684.0,116.0,568.0,5.0,25.46260404586792
30,28.0,0.0,28.0,2.0,2.433176040649414
40,70.0,8.0,62.0,2.0,4.19590163230896
30,28.0,0.0,28.0,2.0,2.347926616668701
40,70.0,8.0,62.0,2.0,4.06708550453186
50,128.0,34.0,94.0,3.0,6.400188684463501
60,210.0,32.0,178.0,3.0,9.081172466278076
70,352.0,66.0,286.0,3.0,12.2142174243927
80,426.0,76.0,350.0,4.0,16.276108980178833
90,605.0,151.0,454.0,4.0,20.338585376739502
100,684.0,116.0,568.0,5.0,25.562374353408813
30,26.0,0.0,26.0,2.0,2.101926803588867
40,61.0,4.0,57.0,2.0,3.626605749130249
50,198.0,48.0,150.0,3.0,5.331044673919678
60,299.0,62.0,237.0,3.0,7.645524978637695
70,433.0,92.0,341.0,3.0,10.232969522476196
80,515.0,101.0,414.0,4.0,13.18919563293457
90,600.0,102.0,498.0,4.0,16.689659357070923
100,673.0,90.0,583.0,5.0,20.273576259613037
30,26.0,0.0,26.0,2.0,2.0554306507110596
40,61.0,4.0,57.0,2.0,3.5523478984832764
50,198.0,48.0,150.0,3.0,5.322775363922119
60,299.0,62.0,237.0,3.0,7.50211238861084
70,433.0,92.0,341.0,3.0,10.214725255966187
80,491.0,84.0,407.0,4.0,12.964508056640625
90,646.0,129.0,517.0,4.0,16.174673080444336
100,680.0,78.0,602.0,5.0,19.922957181930542
30,69.0,14.0,55.0,2.0,1.9881627559661865
40,104.0,5.0,99.0,2.0,3.394068956375122
50,182.0,22.0,160.0,3.0,5.178290605545044
60,202.0,18.0,184.0,3.0,7.276752948760986
70,222.0,19.0,203.0,3.0,9.809779405593872
80,308.0,14.0,294.0,4.0,12.619468688964844
90,379.0,32.0,347.0,4.0,15.71543288230896
100,485.0,43.0,442.0,5.0,19.717747449874878
30,32.0,13.0,19.0,2.0,1.9149162769317627
40,90.0,8.0,82.0,2.0,3.2652273178100586
50,197.0,50.0,147.0,3.0,5.064763784408569
60,267.0,46.0,221.0,3.0,7.07160758972168
70,393.0,61.0,332.0,3.0,9.58309555053711
80,503.0,77.0,426.0,4.0,12.503036499023438
90,560.0,82.0,478.0,4.0,15.548993587493896
100,630.0,86.0,544.0,5.0,19.302401065826416
30,33.0,11.0,22.0,2.0,2.0037600994110107
40,64.0,4.0,60.0,2.0,3.472454786300659
50,164.0,41.0,123.0,3.0,5.47580099105835
60,168.0,20.0,148.0,3.0,7.700515270233154
70,312.0,64.0,248.0,3.0,10.450886726379395
80,457.0,98.0,359.0,4.0,13.901057958602905
90,493.0,96.0,397.0,4.0,17.328566789627075
100,601.0,90.0,511.0,5.0,21.773975372314453
30,44.0,3.0,41.0,2.0,1.9923784732818604
40,81.0,0.0,81.0,2.0,3.446671962738037
50,161.0,2.0,159.0,3.0,5.398657560348511
60,184.0,0.0,184.0,3.0,7.63273286819458
70,209.0,0.0,209.0,3.0,10.251793146133423
80,292.0,3.0,289.0,4.0,13.560171604156494
90,342.0,0.0,342.0,4.0,17.07605242729187
100,407.0,0.0,407.0,5.0,21.301687002182007
30,47.0,0.0,47.0,2.0,1.8873109817504883
40,85.0,0.0,85.0,2.0,3.2521958351135254
50,160.0,0.0,160.0,3.0,5.071648120880127
60,187.0,0.0,187.0,3.0,7.116227865219116
70,211.0,0.0,211.0,3.0,9.606796264648438
80,297.0,0.0,297.0,4.0,12.70488429069519
90,353.0,0.0,353.0,4.0,15.884554624557495
100,418.0,0.0,418.0,5.0,19.954049825668335
