circuit_size,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
15,30.0,0.0,30.0,2.0,0.5944290161132812
25,78.0,0.0,78.0,3.0,1.5628974437713623
35,188.0,0.0,188.0,5.0,3.43428635597229
45,300.0,0.0,300.0,6.0,5.301144599914551
55,439.0,0.0,439.0,7.0,7.532283782958984
65,547.0,0.0,547.0,8.0,10.583340406417847
75,668.0,0.0,668.0,9.0,14.423667192459106
85,796.0,3.0,793.0,10.0,18.37766122817993
15,30.0,0.0,30.0,2.0,0.6047494411468506
25,78.0,0.0,78.0,3.0,1.6016671657562256
35,188.0,0.0,188.0,5.0,3.171475887298584
45,300.0,0.0,300.0,6.0,5.424579620361328
55,439.0,0.0,439.0,7.0,8.206335544586182
65,547.0,0.0,547.0,8.0,11.528438806533813
75,668.0,0.0,668.0,9.0,15.908149480819702
85,796.0,3.0,793.0,10.0,19.909400701522827
