iteration,PG_cost,PGGL_cost
0,25263.0,25263.0
1,16828.0,16729.0
2,14724.0,14710.0
3,13627.0,13472.0
4,12844.0,12744.0
5,12239.0,12197.0
6,11818.0,11802.0
7,11521.0,11467.0
8,11231.0,11197.0
9,11053.0,10978.0
10,10850.0,10791.0
11,10692.0,10624.0
12,10519.0,10451.0
13,10396.0,10336.0
14,10275.0,10249.0
15,10196.0,10180.0
16,10098.0,10058.0
17,9972.0,9980.0
18,9901.0,9900.0
19,9821.0,9833.0
20,9711.0,9742.0
21,9662.0,9671.0
22,9589.0,9613.0
23,9532.0,9547.0
24,9488.0,9478.0
25,9453.0,9407.0
26,9403.0,9383.0
27,9353.0,9345.0
28,9335.0,9308.0
29,9294.0,9276.0
30,9236.0,9225.0
31,9203.0,9202.0
32,9136.0,9180.0
33,9116.0,9148.0
34,9126.0,9114.0
35,9076.0,9057.0
36,9051.0,9024.0
37,9008.0,9012.0
38,8996.0,8954.0
39,8963.0,8916.0
40,8941.0,8897.0
41,8908.0,8896.0
42,8871.0,8873.0
43,8853.0,8865.0
44,8829.0,8843.0
45,8802.0,8817.0
46,8783.0,8770.0
47,8778.0,8751.0
48,8740.0,8741.0
49,8719.0,8734.0
50,8690.0,8703.0
51,8693.0,8679.0
52,8667.0,8679.0
53,8655.0,8670.0
54,8642.0,8654.0
55,8629.0,8633.0
56,8619.0,8612.0
57,8602.0,8622.0
58,8568.0,8573.0
59,8558.0,8558.0
60,8546.0,8547.0
61,8546.0,8539.0
62,8524.0,8533.0
63,8516.0,8506.0
64,8497.0,8504.0
65,8468.0,8479.0
66,8467.0,8477.0
67,8452.0,8459.0
68,8420.0,8444.0
69,8432.0,8411.0
70,8416.0,8411.0
71,8416.0,8406.0
72,8382.0,8410.0
73,8362.0,8384.0
74,8367.0,8362.0
75,8341.0,8359.0
76,8353.0,8322.0
77,8358.0,8332.0
78,8345.0,8311.0
79,8321.0,8308.0
80,8323.0,8297.0
81,8311.0,8281.0
82,8293.0,8299.0
83,8297.0,8267.0
84,8290.0,8267.0
85,8255.0,8261.0
86,8259.0,8251.0
87,8253.0,8227.0
88,8258.0,8218.0
89,8226.0,8215.0
90,8225.0,8206.0
91,8199.0,8200.0
92,8212.0,8182.0
93,8184.0,8184.0
94,8178.0,8186.0
95,8175.0,8166.0
96,8155.0,8151.0
97,8154.0,8148.0
98,8139.0,8162.0
99,8141.0,8128.0
100,8150.0,8122.0
101,8124.0,9925.0
102,8126.0,8916.0
103,8114.0,8640.0
104,8109.0,8488.0
105,8115.0,8452.0
106,8117.0,8389.0
107,8102.0,8339.0
108,8094.0,8297.0
109,8078.0,8285.0
110,8083.0,8269.0
111,8067.0,8236.0
112,8067.0,8211.0
113,8058.0,8180.0
114,8054.0,8168.0
115,8030.0,8174.0
116,8029.0,8164.0
117,8037.0,8137.0
118,8021.0,8144.0
119,7995.0,8126.0
120,8025.0,8152.0
121,8032.0,8124.0
122,8021.0,8103.0
123,7996.0,8097.0
124,7998.0,8092.0
125,7988.0,8069.0
126,7974.0,8058.0
127,7980.0,8070.0
128,7988.0,8067.0
129,8004.0,8056.0
130,7987.0,8044.0
131,7988.0,8025.0
132,7980.0,8037.0
133,7983.0,8022.0
134,7973.0,8025.0
135,7966.0,8018.0
136,7953.0,7986.0
137,7946.0,7981.0
138,7930.0,7973.0
139,7946.0,7959.0
140,7927.0,7954.0
141,7934.0,7948.0
142,7936.0,7945.0
143,7915.0,7930.0
144,7906.0,7930.0
145,7907.0,7931.0
146,7908.0,7920.0
147,7915.0,7934.0
148,7912.0,7946.0
149,7918.0,7925.0
150,7918.0,7909.0
151,7900.0,9606.0
152,7919.0,8603.0
153,7896.0,8341.0
154,7890.0,8250.0
155,7882.0,8206.0
156,7880.0,8163.0
157,7872.0,8104.0
158,7878.0,8077.0
159,7876.0,8079.0
160,7858.0,8034.0
161,7856.0,8037.0
162,7865.0,8028.0
163,7858.0,8010.0
164,7851.0,7996.0
165,7837.0,7987.0
166,7840.0,7971.0
167,7850.0,7965.0
168,7845.0,7958.0
169,7831.0,7929.0
170,7817.0,7924.0
171,7818.0,7924.0
172,7834.0,7918.0
173,7824.0,7899.0
174,7819.0,7899.0
175,7812.0,7890.0
176,7809.0,7899.0
177,7817.0,7872.0
178,7800.0,7871.0
179,7791.0,7862.0
180,7783.0,7858.0
181,7799.0,7857.0
182,7790.0,7869.0
183,7786.0,7863.0
184,7790.0,7849.0
185,7776.0,7849.0
186,7797.0,7845.0
187,7789.0,7847.0
188,7789.0,7836.0
189,7785.0,7833.0
190,7780.0,7827.0
191,7790.0,7821.0
192,7775.0,7804.0
193,7778.0,7800.0
194,7774.0,7791.0
195,7779.0,7794.0
196,7770.0,7778.0
197,7760.0,7772.0
198,7741.0,7777.0
199,7734.0,7778.0
200,7743.0,7753.0
201,7746.0,9482.0
202,7737.0,8518.0
203,7731.0,8232.0
204,7730.0,8102.0
205,7720.0,8031.0
206,7734.0,7992.0
207,7721.0,7949.0
208,7715.0,7917.0
209,7707.0,7914.0
210,7709.0,7904.0
211,7709.0,7886.0
212,7704.0,7859.0
213,7701.0,7851.0
214,7699.0,7836.0
215,7705.0,7846.0
216,7700.0,7831.0
217,7699.0,7817.0
218,7689.0,7819.0
219,7691.0,7806.0
220,7696.0,7816.0
221,7695.0,7818.0
222,7681.0,7802.0
223,7688.0,7786.0
224,7687.0,7778.0
225,7668.0,7762.0
226,7681.0,7757.0
227,7673.0,7758.0
228,7678.0,7763.0
229,7681.0,7746.0
230,7674.0,7724.0
231,7676.0,7721.0
232,7673.0,7726.0
233,7676.0,7706.0
234,7665.0,7718.0
235,7657.0,7700.0
236,7660.0,7731.0
237,7674.0,7707.0
238,7684.0,7714.0
239,7660.0,7701.0
240,7654.0,7715.0
241,7648.0,7701.0
242,7646.0,7688.0
243,7642.0,7680.0
244,7651.0,7687.0
245,7654.0,7679.0
246,7635.0,7685.0
247,7647.0,7671.0
248,7643.0,7672.0
249,7648.0,7665.0
250,7631.0,7651.0
251,7633.0,9408.0
252,7649.0,8403.0
253,7634.0,8155.0
254,7631.0,8011.0
255,7628.0,7959.0
256,7625.0,7912.0
257,7630.0,7879.0
258,7610.0,7856.0
259,7601.0,7834.0
260,7609.0,7828.0
261,7602.0,7816.0
262,7603.0,7803.0
263,7615.0,7789.0
264,7608.0,7780.0
265,7610.0,7773.0
266,7600.0,7754.0
267,7591.0,7736.0
268,7592.0,7728.0
269,7598.0,7725.0
270,7590.0,7724.0
271,7593.0,7708.0
272,7583.0,7701.0
273,7588.0,7710.0
274,7588.0,7712.0
275,7577.0,7697.0
276,7579.0,7707.0
277,7580.0,7697.0
278,7562.0,7667.0
279,7587.0,7667.0
280,7557.0,7659.0
281,7567.0,7657.0
282,7572.0,7636.0
283,7572.0,7643.0
284,7561.0,7648.0
285,7557.0,7617.0
286,7563.0,7618.0
287,7565.0,7632.0
288,7562.0,7633.0
289,7560.0,7632.0
290,7569.0,7622.0
291,7551.0,7606.0
292,7565.0,7617.0
293,7564.0,7611.0
294,7536.0,7607.0
295,7535.0,7622.0
296,7540.0,7596.0
297,7544.0,7608.0
298,7533.0,7596.0
299,7539.0,7592.0
300,7546.0,7577.0
301,7538.0,9241.0
302,7537.0,8253.0
303,7537.0,8022.0
304,7545.0,7904.0
305,7521.0,7855.0
306,7522.0,7835.0
307,7513.0,7787.0
308,7530.0,7773.0
309,7531.0,7732.0
310,7524.0,7714.0
311,7519.0,7712.0
312,7518.0,7683.0
313,7518.0,7680.0
314,7512.0,7690.0
315,7513.0,7657.0
316,7512.0,7652.0
317,7515.0,7657.0
318,7504.0,7639.0
319,7501.0,7624.0
320,7503.0,7620.0
321,7505.0,7614.0
322,7502.0,7617.0
323,7503.0,7598.0
324,7501.0,7588.0
325,7498.0,7580.0
326,7496.0,7608.0
327,7488.0,7612.0
328,7487.0,7592.0
329,7486.0,7576.0
330,7499.0,7589.0
331,7494.0,7582.0
332,7498.0,7560.0
333,7498.0,7569.0
334,7492.0,7553.0
335,7488.0,7565.0
336,7462.0,7555.0
337,7469.0,7555.0
338,7478.0,7559.0
339,7492.0,7544.0
340,7473.0,7554.0
341,7482.0,7558.0
342,7476.0,7537.0
343,7463.0,7540.0
344,7464.0,7539.0
345,7464.0,7534.0
346,7478.0,7525.0
347,7460.0,7535.0
348,7455.0,7522.0
349,7465.0,7530.0
350,7447.0,7535.0
351,7461.0,9170.0
352,7449.0,8254.0
353,7472.0,8034.0
354,7453.0,7878.0
355,7466.0,7801.0
356,7466.0,7757.0
357,7467.0,7736.0
358,7457.0,7701.0
359,7444.0,7673.0
360,7462.0,7652.0
361,7449.0,7628.0
362,7449.0,7628.0
363,7443.0,7613.0
364,7441.0,7605.0
365,7455.0,7591.0
366,7440.0,7583.0
367,7447.0,7595.0
368,7448.0,7585.0
369,7452.0,7564.0
370,7443.0,7570.0
371,7451.0,7577.0
372,7454.0,7557.0
373,7446.0,7547.0
374,7442.0,7532.0
375,7440.0,7549.0
376,7434.0,7520.0
377,7433.0,7502.0
378,7435.0,7511.0
379,7449.0,7495.0
380,7452.0,7508.0
381,7437.0,7492.0
382,7446.0,7506.0
383,7430.0,7518.0
384,7422.0,7500.0
385,7426.0,7489.0
386,7428.0,7488.0
387,7442.0,7483.0
388,7433.0,7467.0
389,7434.0,7486.0
390,7416.0,7483.0
391,7421.0,7451.0
392,7423.0,7463.0
393,7432.0,7478.0
394,7429.0,7468.0
395,7428.0,7470.0
396,7415.0,7447.0
397,7406.0,7441.0
398,7405.0,7447.0
399,7409.0,7468.0
400,7404.0,7447.0
401,7418.0,9026.0
402,7420.0,8131.0
403,7424.0,7925.0
404,7412.0,7783.0
