iteration,PG_cost,PGGL_cost
0,25263.0,25263.0
1,15902.0,16002.0
2,13238.0,13306.0
3,11988.0,12037.0
4,11221.0,11284.0
5,10711.0,10752.0
6,10317.0,10385.0
7,10034.0,10071.0
8,9813.0,9862.0
9,9622.0,9675.0
10,9465.0,9499.0
11,9345.0,9356.0
12,9238.0,9242.0
13,9138.0,9154.0
14,9041.0,9054.0
15,8964.0,8970.0
16,8876.0,8894.0
17,8782.0,8824.0
18,8723.0,8744.0
19,8664.0,8683.0
20,8602.0,8623.0
21,8551.0,8575.0
22,8505.0,8527.0
23,8457.0,8483.0
24,8420.0,8446.0
25,8376.0,8412.0
26,8334.0,8376.0
27,8306.0,8329.0
28,8274.0,8292.0
29,8236.0,8253.0
30,8212.0,8215.0
31,8183.0,8187.0
32,8151.0,8165.0
33,8119.0,8133.0
34,8096.0,8111.0
35,8059.0,8088.0
36,8032.0,8067.0
37,8015.0,8044.0
38,7995.0,8029.0
39,7974.0,8006.0
40,7951.0,7983.0
41,7931.0,7959.0
42,7919.0,7937.0
43,7896.0,7911.0
44,7879.0,7892.0
45,7859.0,7867.0
46,7844.0,7851.0
47,7817.0,7828.0
48,7804.0,7805.0
49,7786.0,7788.0
50,7767.0,7778.0
51,7753.0,7770.0
52,7729.0,7745.0
53,7711.0,7730.0
54,7694.0,7711.0
55,7676.0,7693.0
56,7659.0,7674.0
57,7650.0,7659.0
58,7639.0,7640.0
59,7628.0,7630.0
60,7611.0,7618.0
61,7595.0,7603.0
62,7582.0,7592.0
63,7571.0,7579.0
64,7558.0,7571.0
65,7544.0,7559.0
66,7538.0,7541.0
67,7527.0,7536.0
68,7516.0,7530.0
69,7499.0,7516.0
70,7486.0,7501.0
71,7474.0,7490.0
72,7456.0,7479.0
73,7448.0,7470.0
74,7439.0,7461.0
75,7431.0,7448.0
76,7420.0,7435.0
77,7411.0,7425.0
78,7398.0,7413.0
79,7388.0,7397.0
80,7381.0,7384.0
81,7375.0,7372.0
82,7361.0,7359.0
83,7350.0,7349.0
84,7338.0,7339.0
85,7323.0,7326.0
86,7314.0,7323.0
87,7308.0,7311.0
88,7300.0,7299.0
89,7292.0,7289.0
90,7281.0,7277.0
91,7275.0,7268.0
92,7268.0,7258.0
93,7263.0,7253.0
94,7256.0,7245.0
95,7253.0,7235.0
96,7248.0,7225.0
97,7238.0,7212.0
98,7226.0,7204.0
99,7217.0,7199.0
100,7209.0,7187.0
101,7198.0,8747.0
102,7188.0,7877.0
103,7171.0,7651.0
104,7162.0,7549.0
105,7153.0,7461.0
106,7148.0,7399.0
107,7136.0,7363.0
108,7129.0,7332.0
109,7121.0,7295.0
110,7113.0,7276.0
111,7106.0,7253.0
112,7101.0,7234.0
113,7093.0,7206.0
114,7086.0,7183.0
115,7083.0,7174.0
116,7077.0,7160.0
117,7070.0,7147.0
118,7065.0,7132.0
119,7056.0,7120.0
120,7053.0,7103.0
121,7047.0,7096.0
122,7039.0,7083.0
123,7036.0,7074.0
124,7030.0,7066.0
125,7020.0,7057.0
126,7016.0,7049.0
127,7006.0,7036.0
128,7003.0,7030.0
129,6997.0,7019.0
130,6993.0,7005.0
131,6979.0,6999.0
132,6973.0,6991.0
133,6964.0,6984.0
134,6960.0,6978.0
135,6956.0,6970.0
136,6952.0,6960.0
137,6943.0,6947.0
138,6937.0,6938.0
139,6934.0,6929.0
140,6926.0,6925.0
141,6918.0,6912.0
142,6911.0,6906.0
143,6909.0,6897.0
144,6903.0,6889.0
145,6900.0,6883.0
146,6894.0,6879.0
147,6894.0,6871.0
148,6888.0,6866.0
149,6884.0,6861.0
150,6880.0,6855.0
151,6875.0,8435.0
152,6870.0,7525.0
153,6866.0,7306.0
154,6859.0,7209.0
155,6858.0,7137.0
156,6853.0,7090.0
157,6851.0,7059.0
158,6847.0,7030.0
159,6844.0,6989.0
160,6842.0,6965.0
161,6837.0,6950.0
162,6832.0,6929.0
163,6830.0,6910.0
164,6828.0,6891.0
165,6826.0,6878.0
166,6824.0,6864.0
167,6824.0,6849.0
168,6820.0,6826.0
169,6819.0,6812.0
170,6813.0,6799.0
171,6807.0,6789.0
172,6800.0,6775.0
173,6792.0,6766.0
174,6788.0,6756.0
175,6783.0,6745.0
176,6779.0,6735.0
177,6778.0,6731.0
178,6777.0,6725.0
179,6773.0,6721.0
180,6772.0,6713.0
181,6770.0,6703.0
182,6762.0,6698.0
183,6757.0,6690.0
184,6753.0,6679.0
185,6750.0,6675.0
186,6747.0,6668.0
187,6740.0,6661.0
188,6737.0,6655.0
189,6735.0,6652.0
190,6730.0,6646.0
191,6727.0,6641.0
192,6725.0,6634.0
193,6725.0,6631.0
194,6721.0,6625.0
195,6719.0,6621.0
196,6716.0,6615.0
197,6711.0,6609.0
198,6709.0,6605.0
199,6704.0,6594.0
200,6699.0,6591.0
201,6699.0,8069.0
202,6694.0,7237.0
203,6690.0,7024.0
204,6687.0,6932.0
205,6685.0,6839.0
206,6678.0,6786.0
207,6678.0,6754.0
208,6674.0,6723.0
209,6674.0,6704.0
210,6671.0,6687.0
211,6666.0,6675.0
212,6661.0,6656.0
213,6659.0,6641.0
214,6658.0,6627.0
215,6657.0,6618.0
216,6655.0,6609.0
217,6649.0,6597.0
218,6646.0,6585.0
219,6645.0,6572.0
220,6644.0,6563.0
221,6641.0,6559.0
222,6636.0,6553.0
223,6625.0,6540.0
224,6622.0,6526.0
225,6619.0,6516.0
226,6616.0,6512.0
227,6615.0,6499.0
228,6613.0,6494.0
229,6607.0,6488.0
230,6606.0,6480.0
231,6603.0,6479.0
232,6599.0,6474.0
233,6595.0,6460.0
234,6594.0,6456.0
235,6590.0,6452.0
236,6586.0,6451.0
237,6582.0,6447.0
238,6581.0,6445.0
239,6578.0,6440.0
240,6575.0,6431.0
241,6572.0,6425.0
242,6571.0,6419.0
243,6566.0,6415.0
244,6561.0,6408.0
245,6559.0,6403.0
246,6556.0,6394.0
247,6551.0,6389.0
248,6549.0,6386.0
249,6548.0,6384.0
250,6543.0,6377.0
251,6538.0,7869.0
252,6535.0,7019.0
253,6535.0,6822.0
254,6534.0,6700.0
255,6530.0,6638.0
256,6525.0,6594.0
257,6521.0,6563.0
258,6520.0,6538.0
259,6518.0,6522.0
260,6514.0,6502.0
261,6511.0,6488.0
262,6510.0,6479.0
263,6508.0,6464.0
264,6505.0,6451.0
265,6502.0,6435.0
266,6501.0,6423.0
267,6499.0,6411.0
268,6495.0,6405.0
269,6491.0,6394.0
270,6489.0,6384.0
271,6487.0,6377.0
272,6486.0,6365.0
273,6480.0,6359.0
274,6477.0,6350.0
275,6477.0,6342.0
276,6475.0,6338.0
277,6474.0,6329.0
278,6470.0,6322.0
279,6468.0,6314.0
280,6466.0,6306.0
281,6464.0,6302.0
282,6462.0,6294.0
283,6460.0,6288.0
284,6459.0,6280.0
285,6457.0,6276.0
286,6453.0,6271.0
287,6451.0,6266.0
288,6448.0,6259.0
289,6446.0,6257.0
290,6444.0,6249.0
291,6442.0,6246.0
292,6442.0,6238.0
293,6441.0,6232.0
294,6440.0,6226.0
295,6440.0,6220.0
296,6440.0,6219.0
297,6436.0,6216.0
298,6435.0,6213.0
299,6432.0,6211.0
300,6430.0,6199.0
301,6427.0,7681.0
302,6426.0,6889.0
303,6424.0,6685.0
304,6422.0,6599.0
305,6422.0,6520.0
306,6420.0,6471.0
307,6415.0,6430.0
308,6415.0,6390.0
309,6409.0,6362.0
310,6408.0,6338.0
311,6405.0,6319.0
312,6402.0,6304.0
313,6399.0,6286.0
314,6396.0,6273.0
315,6394.0,6256.0
316,6392.0,6245.0
317,6391.0,6235.0
318,6391.0,6218.0
319,6388.0,6209.0
320,6388.0,6200.0
321,6386.0,6189.0
322,6386.0,6179.0
323,6385.0,6167.0
324,6384.0,6158.0
325,6383.0,6149.0
326,6383.0,6142.0
327,6381.0,6133.0
328,6378.0,6126.0
329,6378.0,6119.0
330,6376.0,6111.0
331,6376.0,6105.0
332,6373.0,6098.0
333,6372.0,6096.0
334,6370.0,6089.0
335,6368.0,6085.0
336,6367.0,6080.0
337,6367.0,6071.0
338,6366.0,6062.0
339,6366.0,6062.0
340,6365.0,6059.0
341,6363.0,6055.0
342,6360.0,6046.0
343,6358.0,6041.0
344,6356.0,6040.0
345,6355.0,6034.0
346,6354.0,6029.0
347,6352.0,6024.0
348,6349.0,6014.0
349,6345.0,6003.0
350,6345.0,6000.0
351,6344.0,7439.0
352,6343.0,6582.0
353,6340.0,6383.0
354,6339.0,6306.0
355,6337.0,6246.0
356,6333.0,6202.0
357,6332.0,6167.0
358,6330.0,6141.0
359,6329.0,6126.0
360,6329.0,6102.0
361,6328.0,6088.0
362,6328.0,6072.0
363,6326.0,6055.0
