iteration,PG_cost,PGGL_cost
0,12600.0,12600.0
1,8714.0,8711.0
2,5498.0,5519.0
3,3825.0,3783.0
4,3164.0,3146.0
5,2843.0,2788.0
6,2632.0,2605.0
7,2451.0,2455.0
8,2304.0,2323.0
9,2154.0,2196.0
10,2056.0,2117.0
11,1963.0,2054.0
12,1870.0,1988.0
13,1815.0,1923.0
14,1764.0,1862.0
15,1723.0,1837.0
16,1684.0,1807.0
17,1650.0,1780.0
18,1625.0,1767.0
19,1613.0,1742.0
20,1590.0,1717.0
21,1568.0,1702.0
22,1558.0,1686.0
23,1547.0,1668.0
24,1536.0,1659.0
25,1523.0,1652.0
26,1510.0,1638.0
27,1505.0,1628.0
28,1492.0,1622.0
29,1477.0,1608.0
30,1470.0,1604.0
31,1463.0,1597.0
32,1458.0,1583.0
33,1450.0,1578.0
34,1448.0,1571.0
35,1438.0,1563.0
36,1434.0,1561.0
37,1432.0,1558.0
38,1430.0,1555.0
39,1426.0,1552.0
40,1423.0,1549.0
41,1421.0,1544.0
42,1421.0,1542.0
43,1419.0,1539.0
44,1414.0,1534.0
45,1412.0,1532.0
46,1411.0,1532.0
47,1408.0,1528.0
48,1404.0,1527.0
49,1403.0,1525.0
50,1402.0,1523.0
51,1401.0,1521.0
52,1401.0,1518.0
53,1401.0,1516.0
54,1401.0,1514.0
55,1401.0,1513.0
56,1401.0,1513.0
57,1401.0,1509.0
58,1400.0,1509.0
59,1400.0,1507.0
60,1399.0,1506.0
61,1397.0,1503.0
62,1397.0,1502.0
63,1397.0,1499.0
64,1397.0,1499.0
65,1397.0,1499.0
66,1397.0,1498.0
67,1397.0,1498.0
68,1397.0,1497.0
69,1397.0,1497.0
70,1397.0,1497.0
71,1397.0,1497.0
72,1397.0,1497.0
73,1397.0,1497.0
74,1397.0,1497.0
75,1397.0,1497.0
76,1397.0,1497.0
77,1397.0,1497.0
78,1397.0,1497.0
79,1397.0,1497.0
80,1397.0,1497.0
81,1397.0,1497.0
82,1397.0,1497.0
83,1397.0,1496.0
84,1397.0,1494.0
85,1397.0,1492.0
86,1397.0,1492.0
87,1397.0,1492.0
88,1397.0,1489.0
89,1397.0,1489.0
90,1397.0,1489.0
91,1397.0,1489.0
92,1397.0,1489.0
93,1397.0,1489.0
94,1397.0,1489.0
95,1397.0,1489.0
96,1397.0,1489.0
97,1397.0,1489.0
98,1397.0,1489.0
99,1397.0,1489.0
100,1397.0,1489.0
101,1397.0,1778.0
102,1397.0,1574.0
103,1397.0,1470.0
104,1397.0,1424.0
105,1397.0,1380.0
106,1396.0,1347.0
107,1396.0,1336.0
108,1396.0,1313.0
109,1396.0,1296.0
110,1396.0,1287.0
111,1396.0,1276.0
112,1396.0,1265.0
113,1396.0,1262.0
114,1396.0,1249.0
115,1396.0,1243.0
116,1396.0,1242.0
117,1396.0,1242.0
118,1396.0,1240.0
119,1396.0,1239.0
120,1396.0,1235.0
121,1396.0,1234.0
122,1396.0,1233.0
123,1396.0,1232.0
124,1396.0,1232.0
125,1396.0,1232.0
126,1396.0,1232.0
127,1396.0,1232.0
128,1396.0,1231.0
129,1396.0,1231.0
130,1396.0,1229.0
131,1396.0,1228.0
132,1396.0,1228.0
133,1396.0,1227.0
134,1396.0,1227.0
135,1396.0,1227.0
136,1396.0,1227.0
137,1396.0,1227.0
138,1396.0,1227.0
139,1396.0,1226.0
140,1396.0,1224.0
141,1396.0,1223.0
142,1396.0,1222.0
143,1396.0,1222.0
144,1396.0,1221.0
145,1396.0,1220.0
146,1396.0,1220.0
147,1396.0,1220.0
148,1396.0,1220.0
149,1396.0,1220.0
150,1396.0,1220.0
151,1396.0,1473.0
152,1395.0,1291.0
153,1395.0,1221.0
154,1395.0,1184.0
155,1395.0,1167.0
156,1395.0,1152.0
157,1395.0,1143.0
158,1394.0,1137.0
159,1394.0,1133.0
160,1394.0,1130.0
161,1394.0,1125.0
162,1394.0,1120.0
163,1394.0,1118.0
164,1394.0,1118.0
165,1394.0,1118.0
166,1394.0,1118.0
167,1394.0,1118.0
168,1394.0,1117.0
169,1394.0,1116.0
170,1394.0,1115.0
171,1394.0,1114.0
172,1394.0,1113.0
173,1394.0,1109.0
174,1394.0,1109.0
175,1394.0,1108.0
176,1392.0,1108.0
177,1392.0,1104.0
178,1392.0,1104.0
179,1392.0,1104.0
180,1392.0,1103.0
181,1392.0,1103.0
182,1392.0,1103.0
183,1392.0,1103.0
184,1392.0,1102.0
185,1392.0,1102.0
186,1392.0,1102.0
187,1392.0,1102.0
188,1392.0,1102.0
189,1392.0,1102.0
190,1392.0,1101.0
191,1392.0,1101.0
192,1392.0,1101.0
193,1392.0,1101.0
194,1392.0,1101.0
195,1392.0,1099.0
196,1392.0,1099.0
197,1392.0,1099.0
198,1392.0,1099.0
199,1392.0,1099.0
200,1392.0,1099.0
201,1390.0,1298.0
202,1390.0,1162.0
203,1390.0,1120.0
204,1390.0,1100.0
205,1390.0,1084.0
206,1390.0,1075.0
207,1390.0,1072.0
208,1390.0,1070.0
209,1390.0,1067.0
210,1390.0,1066.0
211,1390.0,1062.0
212,1390.0,1061.0
213,1390.0,1056.0
214,1390.0,1053.0
215,1390.0,1053.0
216,1388.0,1053.0
217,1388.0,1051.0
218,1388.0,1051.0
219,1388.0,1050.0
220,1388.0,1050.0
221,1388.0,1050.0
222,1388.0,1050.0
223,1388.0,1050.0
224,1388.0,1050.0
225,1388.0,1050.0
226,1388.0,1050.0
227,1388.0,1050.0
228,1388.0,1050.0
229,1388.0,1050.0
230,1388.0,1050.0
231,1388.0,1050.0
232,1388.0,1050.0
233,1388.0,1050.0
234,1386.0,1050.0
235,1386.0,1050.0
236,1386.0,1050.0
237,1386.0,1050.0
238,1386.0,1050.0
239,1386.0,1050.0
240,1386.0,1050.0
241,1386.0,1050.0
242,1386.0,1050.0
243,1386.0,1050.0
244,1386.0,1050.0
245,1386.0,1050.0
246,1386.0,1050.0
247,1386.0,1050.0
248,1386.0,1050.0
249,1386.0,1050.0
250,1386.0,1050.0
251,1386.0,1255.0
252,1386.0,1112.0
253,1386.0,1068.0
254,1386.0,1038.0
255,1386.0,1027.0
256,1386.0,1021.0
257,1386.0,1017.0
258,1386.0,1015.0
259,1386.0,1013.0
260,1386.0,1012.0
261,1386.0,1012.0
262,1386.0,1012.0
263,1386.0,1012.0
264,1386.0,1012.0
265,1386.0,1012.0
266,1386.0,1012.0
267,1386.0,1012.0
268,1386.0,1012.0
269,1386.0,1012.0
270,1386.0,1011.0
271,1386.0,1011.0
272,1386.0,1011.0
273,1386.0,1011.0
