buffer_id,Buffer_times,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
1,-1,126,0,126,3,3.456871747970581
2,-1,126,0,126,3,3.456871747970581
3,-1,126,0,126,3,3.456871747970581
4,-1,126,0,126,3,3.456871747970581
5,-1,126,0,126,3,3.456871747970581
6,-1,126,0,126,3,3.456871747970581
7,-1,126,0,126,3,3.456871747970581
8,-1,126,0,126,3,3.456871747970581
9,-1,126,0,126,3,3.456871747970581
10,-1,126,0,126,3,3.456871747970581
11,-1,126,0,126,3,3.456871747970581
12,-1,126,0,126,3,3.456871747970581
13,-1,126,0,126,3,3.456871747970581
14,-1,126,0,126,3,3.456871747970581
15,-1,126,0,126,3,3.456871747970581
16,-1,126,0,126,3,3.456871747970581
17,-1,126,0,126,3,3.456871747970581
18,-1,126,0,126,3,3.456871747970581
19,-1,126,0,126,3,3.456871747970581
20,-1,126,0,126,3,3.456871747970581
21,-1,126,0,126,3,3.456871747970581
22,-1,126,0,126,3,3.456871747970581
23,-1,126,0,126,3,3.456871747970581
24,-1,126,0,126,3,3.456871747970581
25,-1,126,0,126,3,3.456871747970581
26,-1,126,0,126,3,3.456871747970581
27,-1,126,0,126,3,3.456871747970581
28,-1,126,0,126,3,3.456871747970581
29,-1,126,0,126,3,3.456871747970581
30,-1,126,0,126,3,3.456871747970581
31,-1,126,0,126,3,3.456871747970581
32,-1,126,0,126,3,3.456871747970581
33,-1,126,0,126,3,3.456871747970581
34,-1,126,0,126,3,3.456871747970581
35,-1,126,0,126,3,3.456871747970581
36,-1,126,0,126,3,3.456871747970581
37,-1,126,0,126,3,3.456871747970581
38,-1,126,0,126,3,3.456871747970581
39,-1,126,0,126,3,3.456871747970581
40,-1,126,0,126,3,3.456871747970581
41,-1,126,0,126,3,3.456871747970581
42,-1,126,0,126,3,3.456871747970581
43,-1,126,0,126,3,3.456871747970581
44,-1,126,0,126,3,3.456871747970581
45,-1,126,0,126,3,3.456871747970581
46,-1,126,0,126,3,3.456871747970581
47,-1,126,0,126,3,3.456871747970581
48,-1,126,0,126,3,3.456871747970581
49,-1,126,0,126,3,3.456871747970581
50,-1,126,0,126,3,3.456871747970581
51,-1,126,0,126,3,3.456871747970581
52,-1,126,0,126,3,3.456871747970581
53,-1,126,0,126,3,3.456871747970581
54,0,126,0,126,3,3.456871747970581
55,0,126,0,126,3,3.456871747970581
56,0,126,0,126,3,3.456871747970581
57,0,126,0,126,3,3.456871747970581
58,-1,126,0,126,3,3.456871747970581
59,0,126,0,126,3,3.456871747970581
60,-1,126,0,126,3,3.456871747970581
61,0,126,0,126,3,3.456871747970581
62,0,126,0,126,3,3.456871747970581
63,0,126,0,126,3,3.456871747970581
64,0,126,0,126,3,3.456871747970581
65,0,126,0,126,3,3.456871747970581
66,0,126,0,126,3,3.456871747970581
67,0,126,0,126,3,3.456871747970581
68,0,126,0,126,3,3.456871747970581
69,1,126,0,126,3,3.456871747970581
70,0,126,0,126,3,3.456871747970581
71,0,126,0,126,3,3.456871747970581
72,0,126,0,126,3,3.456871747970581
73,0,126,0,126,3,3.456871747970581
74,0,126,0,126,3,3.456871747970581
75,0,126,0,126,3,3.456871747970581
76,-1,126,0,126,3,3.456871747970581
77,0,126,0,126,3,3.456871747970581
78,0,126,0,126,3,3.456871747970581
79,0,126,0,126,3,3.456871747970581
80,0,126,0,126,3,3.456871747970581
81,0,126,0,126,3,3.456871747970581
82,1,126,0,126,3,3.456871747970581
83,0,126,0,126,3,3.456871747970581
84,-1,126,0,126,3,3.456871747970581
85,0,126,0,126,3,3.456871747970581
86,0,126,0,126,3,3.456871747970581
87,0,126,0,126,3,3.456871747970581
88,0,126,0,126,3,3.456871747970581
89,0,126,0,126,3,3.456871747970581
90,-1,126,0,126,3,3.456871747970581
91,0,126,0,126,3,3.456871747970581
92,-1,126,0,126,3,3.456871747970581
93,0,126,0,126,3,3.456871747970581
94,-1,126,0,126,3,3.456871747970581
95,0,126,0,126,3,3.456871747970581
96,-1,126,0,126,3,3.456871747970581
97,0,126,0,126,3,3.456871747970581
98,0,126,0,126,3,3.456871747970581
99,0,126,0,126,3,3.456871747970581
100,-1,126,0,126,3,3.456871747970581
101,0,126,0,126,3,3.456871747970581
102,0,126,0,126,3,3.456871747970581
103,0,126,0,126,3,3.456871747970581
104,0,126,0,126,3,3.456871747970581
105,0,126,0,126,3,3.456871747970581
106,-1,126,0,126,3,3.456871747970581
107,0,126,0,126,3,3.456871747970581
108,-1,126,0,126,3,3.456871747970581
109,0,126,0,126,3,3.456871747970581
110,0,126,0,126,3,3.456871747970581
111,0,126,0,126,3,3.456871747970581
112,0,126,0,126,3,3.456871747970581
113,1,126,0,126,3,3.456871747970581
114,0,126,0,126,3,3.456871747970581
115,1,126,0,126,3,3.456871747970581
116,0,126,0,126,3,3.456871747970581
117,1,126,0,126,3,3.456871747970581
118,0,126,0,126,3,3.456871747970581
119,0,126,0,126,3,3.456871747970581
120,0,126,0,126,3,3.456871747970581
121,0,126,0,126,3,3.456871747970581
122,0,126,0,126,3,3.456871747970581
123,0,126,0,126,3,3.456871747970581
124,0,126,0,126,3,3.456871747970581
125,0,126,0,126,3,3.456871747970581
126,1,126,0,126,3,3.456871747970581
