iteration,PG_cost,PGGL_cost
0,5894.0,5894.0
1,394.0,423.0
2,300.0,335.0
3,281.0,311.0
4,255.0,283.0
5,240.0,264.0
6,228.0,250.0
7,223.0,241.0
8,220.0,234.0
9,216.0,223.0
10,210.0,218.0
11,204.0,214.0
12,201.0,212.0
13,200.0,210.0
14,200.0,210.0
15,199.0,210.0
16,199.0,206.0
17,197.0,206.0
18,196.0,206.0
19,195.0,206.0
20,195.0,204.0
21,195.0,204.0
22,195.0,204.0
23,195.0,204.0
24,195.0,204.0
25,195.0,204.0
26,195.0,204.0
27,195.0,204.0
28,195.0,204.0
29,195.0,204.0
30,195.0,204.0
31,195.0,204.0
32,195.0,204.0
33,195.0,204.0
34,195.0,204.0
35,195.0,202.0
36,195.0,202.0
37,195.0,202.0
38,195.0,202.0
39,195.0,202.0
40,195.0,202.0
41,195.0,202.0
42,195.0,202.0
43,195.0,202.0
44,195.0,202.0
45,195.0,202.0
46,195.0,202.0
47,195.0,202.0
48,195.0,200.0
49,195.0,200.0
50,195.0,200.0
51,195.0,200.0
52,193.0,200.0
53,193.0,200.0
54,193.0,200.0
55,193.0,200.0
56,193.0,200.0
57,193.0,200.0
58,193.0,200.0
59,193.0,200.0
60,193.0,200.0
61,193.0,200.0
62,193.0,200.0
63,193.0,200.0
64,193.0,200.0
65,193.0,200.0
66,193.0,200.0
67,193.0,200.0
68,193.0,200.0
69,193.0,200.0
70,193.0,200.0
71,193.0,200.0
72,193.0,200.0
73,193.0,200.0
74,193.0,200.0
75,193.0,200.0
76,193.0,200.0
77,193.0,200.0
78,193.0,200.0
79,193.0,200.0
80,193.0,200.0
81,193.0,200.0
82,193.0,200.0
83,193.0,200.0
84,193.0,200.0
85,193.0,200.0
86,193.0,200.0
87,193.0,200.0
88,193.0,200.0
89,193.0,200.0
90,193.0,200.0
91,193.0,200.0
92,193.0,200.0
93,193.0,200.0
94,193.0,200.0
95,193.0,200.0
96,193.0,200.0
97,193.0,200.0
98,193.0,200.0
99,193.0,200.0
100,193.0,200.0
101,193.0,251.0
102,193.0,220.0
103,193.0,211.0
104,193.0,206.0
105,193.0,202.0
106,193.0,202.0
107,193.0,201.0
108,193.0,201.0
109,193.0,198.0
110,193.0,197.0
111,193.0,197.0
112,193.0,195.0
113,193.0,195.0
114,193.0,195.0
115,193.0,195.0
116,193.0,195.0
117,193.0,195.0
118,193.0,195.0
119,193.0,195.0
120,193.0,195.0
121,193.0,195.0
122,193.0,195.0
123,193.0,195.0
124,193.0,195.0
125,193.0,195.0
126,193.0,195.0
127,193.0,195.0
128,193.0,195.0
129,193.0,195.0
130,193.0,195.0
131,193.0,195.0
132,193.0,195.0
133,193.0,195.0
134,193.0,195.0
135,193.0,195.0
136,193.0,195.0
137,193.0,195.0
138,193.0,195.0
139,193.0,195.0
140,193.0,195.0
141,193.0,195.0
142,193.0,195.0
143,193.0,195.0
144,193.0,195.0
145,193.0,195.0
146,193.0,195.0
147,193.0,194.0
148,193.0,194.0
149,193.0,194.0
150,193.0,194.0
151,193.0,231.0
152,193.0,210.0
153,193.0,202.0
154,193.0,202.0
155,193.0,200.0
156,193.0,198.0
157,193.0,196.0
158,193.0,195.0
159,193.0,195.0
160,193.0,195.0
161,193.0,195.0
162,193.0,195.0
163,193.0,195.0
164,193.0,195.0
165,193.0,195.0
166,193.0,195.0
167,193.0,195.0
168,193.0,195.0
169,193.0,194.0
170,193.0,194.0
171,193.0,194.0
172,193.0,194.0
173,193.0,194.0
174,193.0,194.0
175,193.0,194.0
176,193.0,194.0
177,193.0,194.0
178,193.0,194.0
179,193.0,194.0
180,193.0,194.0
181,193.0,194.0
182,193.0,194.0
183,193.0,194.0
184,193.0,194.0
185,193.0,194.0
186,193.0,194.0
187,193.0,194.0
188,193.0,194.0
189,193.0,194.0
190,193.0,194.0
191,193.0,194.0
192,193.0,194.0
193,193.0,194.0
194,193.0,194.0
195,193.0,194.0
196,193.0,194.0
197,193.0,194.0
198,193.0,194.0
199,193.0,194.0
200,193.0,194.0
201,193.0,238.0
202,193.0,214.0
203,193.0,208.0
204,193.0,201.0
205,193.0,197.0
206,193.0,194.0
207,193.0,194.0
208,193.0,194.0
209,193.0,194.0
210,193.0,194.0
211,193.0,194.0
212,193.0,194.0
213,193.0,194.0
214,193.0,194.0
215,193.0,194.0
216,193.0,194.0
217,193.0,194.0
218,193.0,194.0
219,193.0,194.0
220,193.0,194.0
221,193.0,194.0
222,193.0,194.0
223,193.0,194.0
224,193.0,194.0
225,193.0,194.0
226,193.0,194.0
227,193.0,194.0
228,193.0,194.0
229,193.0,194.0
230,193.0,194.0
231,193.0,194.0
232,193.0,194.0
233,193.0,194.0
234,193.0,194.0
235,193.0,194.0
236,193.0,194.0
237,193.0,194.0
238,193.0,194.0
239,193.0,194.0
240,193.0,194.0
241,193.0,194.0
242,193.0,194.0
243,193.0,194.0
244,193.0,194.0
245,193.0,194.0
246,193.0,194.0
247,193.0,194.0
248,193.0,194.0
249,193.0,194.0
250,193.0,194.0
251,193.0,222.0
252,193.0,206.0
253,193.0,200.0
254,193.0,196.0
255,193.0,193.0
256,193.0,192.0
257,193.0,192.0
258,193.0,192.0
259,193.0,192.0
260,193.0,192.0
261,193.0,192.0
262,193.0,192.0
263,193.0,192.0
264,193.0,192.0
265,193.0,192.0
266,193.0,192.0
267,193.0,192.0
268,193.0,192.0
269,193.0,192.0
270,193.0,192.0
271,193.0,192.0
272,193.0,192.0
273,193.0,192.0
274,193.0,192.0
275,193.0,192.0
276,193.0,192.0
277,193.0,192.0
278,193.0,192.0
279,193.0,192.0
280,193.0,192.0
281,193.0,192.0
282,193.0,192.0
283,193.0,192.0
284,193.0,192.0
285,193.0,192.0
286,193.0,192.0
287,193.0,192.0
288,193.0,192.0
289,193.0,192.0
290,193.0,192.0
291,193.0,192.0
292,193.0,192.0
293,193.0,192.0
294,193.0,192.0
295,193.0,192.0
296,193.0,192.0
297,193.0,192.0
298,193.0,192.0
299,193.0,192.0
300,193.0,192.0
301,193.0,227.0
302,193.0,215.0
303,193.0,205.0
304,193.0,199.0
305,193.0,195.0
306,193.0,195.0
307,193.0,194.0
308,193.0,194.0
309,193.0,193.0
310,193.0,193.0
311,193.0,192.0
312,193.0,192.0
313,193.0,192.0
314,193.0,192.0
315,193.0,192.0
316,193.0,192.0
317,193.0,192.0
318,193.0,192.0
319,193.0,192.0
320,193.0,192.0
321,193.0,192.0
322,193.0,192.0
323,193.0,192.0
324,193.0,192.0
325,193.0,192.0
326,193.0,192.0
327,193.0,192.0
328,193.0,192.0
329,193.0,192.0
330,193.0,192.0
331,193.0,192.0
332,193.0,192.0
333,193.0,192.0
334,193.0,192.0
335,193.0,192.0
336,193.0,192.0
337,193.0,192.0
338,193.0,192.0
339,193.0,192.0
340,193.0,192.0
341,193.0,192.0
342,193.0,192.0
343,193.0,192.0
344,193.0,192.0
345,193.0,192.0
346,193.0,192.0
347,193.0,192.0
348,193.0,192.0
349,193.0,192.0
350,193.0,192.0
351,193.0,232.0
352,193.0,206.0
353,193.0,199.0
354,193.0,197.0
355,193.0,197.0
356,193.0,195.0
357,193.0,195.0
358,193.0,193.0
359,193.0,193.0
360,193.0,193.0
361,193.0,193.0
362,193.0,193.0
363,193.0,193.0
364,193.0,193.0
365,193.0,193.0
366,193.0,193.0
367,193.0,193.0
368,193.0,193.0
369,193.0,193.0
370,193.0,193.0
371,193.0,193.0
372,193.0,192.0
373,193.0,192.0
374,193.0,192.0
375,193.0,192.0
376,193.0,192.0
377,193.0,192.0
378,193.0,192.0
379,193.0,192.0
380,193.0,192.0
381,193.0,192.0
382,193.0,192.0
383,193.0,192.0
384,193.0,192.0
385,193.0,192.0
386,193.0,192.0
387,193.0,192.0
388,193.0,192.0
389,193.0,192.0
390,193.0,192.0
391,193.0,192.0
392,193.0,192.0
393,193.0,192.0
394,193.0,192.0
395,193.0,192.0
396,193.0,192.0
397,193.0,192.0
398,193.0,192.0
399,193.0,192.0
400,193.0,192.0
401,193.0,235.0
402,193.0,212.0
403,193.0,205.0
404,193.0,202.0
405,193.0,200.0
406,193.0,198.0
407,193.0,197.0
408,193.0,197.0
409,193.0,196.0
410,193.0,196.0
411,193.0,196.0
412,193.0,196.0
413,193.0,194.0
414,193.0,193.0
415,193.0,193.0
416,193.0,193.0
417,193.0,193.0
418,193.0,193.0
419,193.0,193.0
420,193.0,193.0
421,191.0,193.0
422,191.0,192.0
423,191.0,192.0
424,191.0,191.0
425,191.0,191.0
426,191.0,191.0
427,191.0,191.0
428,191.0,191.0
429,191.0,191.0
430,191.0,191.0
431,191.0,191.0
432,191.0,191.0
433,191.0,191.0
434,191.0,191.0
435,191.0,191.0
436,191.0,191.0
437,191.0,191.0
438,191.0,191.0
439,191.0,191.0
440,191.0,191.0
441,191.0,191.0
442,191.0,191.0
443,191.0,191.0
444,191.0,191.0
445,191.0,191.0
446,191.0,191.0
447,191.0,191.0
448,191.0,191.0
449,191.0,191.0
450,191.0,191.0
451,191.0,225.0
452,191.0,203.0
453,191.0,195.0
454,191.0,193.0
455,191.0,192.0
456,191.0,191.0
457,191.0,191.0
458,191.0,191.0
459,191.0,191.0
460,191.0,191.0
461,191.0,191.0
462,191.0,191.0
463,191.0,191.0
464,191.0,191.0
465,191.0,191.0
466,191.0,191.0
467,191.0,191.0
468,191.0,191.0
469,191.0,191.0
470,191.0,191.0
471,191.0,191.0
472,191.0,191.0
473,191.0,191.0
474,191.0,191.0
475,191.0,191.0
476,191.0,191.0
477,191.0,191.0
478,191.0,191.0
479,191.0,191.0
480,191.0,191.0
481,191.0,191.0
482,191.0,191.0
483,191.0,191.0
484,191.0,191.0
485,191.0,191.0
486,191.0,191.0
487,191.0,191.0
488,191.0,191.0
489,191.0,191.0
490,191.0,191.0
491,191.0,191.0
492,191.0,191.0
493,191.0,191.0
494,191.0,191.0
495,191.0,191.0
496,191.0,191.0
497,191.0,191.0
498,191.0,191.0
499,191.0,191.0
500,191.0,191.0
501,191.0,228.0
502,191.0,206.0
503,191.0,203.0
504,191.0,200.0
505,191.0,199.0
506,191.0,199.0
507,191.0,198.0
508,191.0,196.0
509,191.0,194.0
510,191.0,193.0
511,191.0,193.0
512,191.0,192.0
513,191.0,192.0
514,191.0,192.0
515,191.0,192.0
516,191.0,192.0
517,191.0,192.0
518,191.0,192.0
519,191.0,191.0
520,191.0,191.0
521,191.0,191.0
522,191.0,191.0
523,191.0,191.0
524,191.0,191.0
525,191.0,191.0
526,191.0,191.0
527,191.0,191.0
528,191.0,191.0
529,191.0,191.0
530,191.0,191.0
531,191.0,191.0
532,191.0,191.0
533,191.0,191.0
534,191.0,191.0
535,191.0,191.0
536,191.0,191.0
537,191.0,191.0
538,191.0,191.0
539,191.0,191.0
540,191.0,191.0
541,191.0,191.0
542,191.0,191.0
543,191.0,191.0
544,191.0,191.0
545,191.0,191.0
546,191.0,191.0
547,191.0,191.0
548,191.0,191.0
549,191.0,191.0
550,191.0,191.0
551,191.0,218.0
552,191.0,202.0
553,191.0,197.0
554,191.0,195.0
555,191.0,193.0
556,191.0,192.0
557,191.0,192.0
558,191.0,192.0
559,191.0,191.0
560,191.0,191.0
561,191.0,191.0
562,191.0,191.0
563,191.0,191.0
564,191.0,191.0
565,191.0,191.0
566,191.0,191.0
567,191.0,191.0
568,191.0,191.0
569,191.0,191.0
570,191.0,191.0
571,191.0,191.0
572,191.0,191.0
573,191.0,191.0
574,191.0,191.0
575,191.0,191.0
576,191.0,191.0
577,191.0,191.0
578,191.0,191.0
579,191.0,191.0
580,191.0,191.0
581,191.0,191.0
582,191.0,191.0
583,191.0,191.0
584,191.0,191.0
585,191.0,191.0
586,191.0,191.0
587,191.0,191.0
588,191.0,191.0
589,191.0,191.0
590,191.0,191.0
591,191.0,191.0
592,191.0,191.0
593,191.0,191.0
594,191.0,191.0
595,191.0,191.0
596,191.0,191.0
597,191.0,191.0
598,191.0,191.0
599,191.0,191.0
600,191.0,191.0
601,191.0,226.0
602,191.0,206.0
603,191.0,197.0
604,191.0,196.0
605,191.0,194.0
606,191.0,193.0
607,191.0,192.0
608,191.0,191.0
609,191.0,191.0
610,191.0,191.0
611,191.0,191.0
612,191.0,191.0
613,191.0,191.0
614,191.0,191.0
615,191.0,191.0
616,191.0,191.0
617,191.0,191.0
618,191.0,191.0
619,191.0,191.0
620,191.0,191.0
621,191.0,191.0
622,191.0,191.0
623,191.0,191.0
624,191.0,191.0
625,191.0,191.0
626,191.0,191.0
627,191.0,191.0
628,191.0,191.0
629,191.0,191.0
