buffer_id,Buffer_times,y_local_reg,telegate_cost,teledata_cost,num_qpu,time
1,2.0,1584.0,586.0,998.0,13,4.871567964553833
2,3.0,1584.0,586.0,998.0,13,4.871567964553833
3,2.0,1584.0,586.0,998.0,13,4.871567964553833
4,1.0,1584.0,586.0,998.0,13,4.871567964553833
5,1.0,1584.0,586.0,998.0,13,4.871567964553833
6,1.0,1584.0,586.0,998.0,13,4.871567964553833
7,0.0,1584.0,586.0,998.0,13,4.871567964553833
8,1.0,1584.0,586.0,998.0,13,4.871567964553833
9,1.0,1584.0,586.0,998.0,13,4.871567964553833
10,1.0,1584.0,586.0,998.0,13,4.871567964553833
11,0.0,1584.0,586.0,998.0,13,4.871567964553833
12,1.0,1584.0,586.0,998.0,13,4.871567964553833
13,2.0,1584.0,586.0,998.0,13,4.871567964553833
14,1.0,1584.0,586.0,998.0,13,4.871567964553833
15,1.0,1584.0,586.0,998.0,13,4.871567964553833
16,0.0,1584.0,586.0,998.0,13,4.871567964553833
17,1.0,1584.0,586.0,998.0,13,4.871567964553833
18,1.0,1584.0,586.0,998.0,13,4.871567964553833
19,0.0,1584.0,586.0,998.0,13,4.871567964553833
20,1.0,1584.0,586.0,998.0,13,4.871567964553833
21,1.0,1584.0,586.0,998.0,13,4.871567964553833
22,1.0,1584.0,586.0,998.0,13,4.871567964553833
23,1.0,1584.0,586.0,998.0,13,4.871567964553833
24,1.0,1584.0,586.0,998.0,13,4.871567964553833
25,2.0,1584.0,586.0,998.0,13,4.871567964553833
26,1.0,1584.0,586.0,998.0,13,4.871567964553833
27,1.0,1584.0,586.0,998.0,13,4.871567964553833
28,1.0,1584.0,586.0,998.0,13,4.871567964553833
29,1.0,1584.0,586.0,998.0,13,4.871567964553833
30,2.0,1584.0,586.0,998.0,13,4.871567964553833
31,1.0,1584.0,586.0,998.0,13,4.871567964553833
32,2.0,1584.0,586.0,998.0,13,4.871567964553833
33,2.0,1584.0,586.0,998.0,13,4.871567964553833
34,1.0,1584.0,586.0,998.0,13,4.871567964553833
35,1.0,1584.0,586.0,998.0,13,4.871567964553833
36,0.0,1584.0,586.0,998.0,13,4.871567964553833
37,1.0,1584.0,586.0,998.0,13,4.871567964553833
38,0.0,1584.0,586.0,998.0,13,4.871567964553833
39,0.0,1584.0,586.0,998.0,13,4.871567964553833
40,1.0,1584.0,586.0,998.0,13,4.871567964553833
41,1.0,1584.0,586.0,998.0,13,4.871567964553833
42,1.0,1584.0,586.0,998.0,13,4.871567964553833
43,1.0,1584.0,586.0,998.0,13,4.871567964553833
44,2.0,1584.0,586.0,998.0,13,4.871567964553833
45,1.0,1584.0,586.0,998.0,13,4.871567964553833
46,1.0,1584.0,586.0,998.0,13,4.871567964553833
47,1.0,1584.0,586.0,998.0,13,4.871567964553833
48,0.0,1584.0,586.0,998.0,13,4.871567964553833
49,1.0,1584.0,586.0,998.0,13,4.871567964553833
50,1.0,1584.0,586.0,998.0,13,4.871567964553833
51,1.0,1584.0,586.0,998.0,13,4.871567964553833
52,0.0,1584.0,586.0,998.0,13,4.871567964553833
53,0.0,1584.0,586.0,998.0,13,4.871567964553833
54,1.0,1584.0,586.0,998.0,13,4.871567964553833
55,1.0,1584.0,586.0,998.0,13,4.871567964553833
56,1.0,1584.0,586.0,998.0,13,4.871567964553833
57,1.0,1584.0,586.0,998.0,13,4.871567964553833
58,1.0,1584.0,586.0,998.0,13,4.871567964553833
59,2.0,1584.0,586.0,998.0,13,4.871567964553833
60,0.0,1584.0,586.0,998.0,13,4.871567964553833
61,1.0,1584.0,586.0,998.0,13,4.871567964553833
62,2.0,1584.0,586.0,998.0,13,4.871567964553833
63,1.0,1584.0,586.0,998.0,13,4.871567964553833
64,1.0,1584.0,586.0,998.0,13,4.871567964553833
65,1.0,1584.0,586.0,998.0,13,4.871567964553833
66,1.0,1584.0,586.0,998.0,13,4.871567964553833
67,1.0,1584.0,586.0,998.0,13,4.871567964553833
68,1.0,1584.0,586.0,998.0,13,4.871567964553833
69,1.0,1584.0,586.0,998.0,13,4.871567964553833
70,0.0,1584.0,586.0,998.0,13,4.871567964553833
71,1.0,1584.0,586.0,998.0,13,4.871567964553833
72,1.0,1584.0,586.0,998.0,13,4.871567964553833
73,1.0,1584.0,586.0,998.0,13,4.871567964553833
74,2.0,1584.0,586.0,998.0,13,4.871567964553833
75,1.0,1584.0,586.0,998.0,13,4.871567964553833
76,1.0,1584.0,586.0,998.0,13,4.871567964553833
77,1.0,1584.0,586.0,998.0,13,4.871567964553833
78,1.0,1584.0,586.0,998.0,13,4.871567964553833
79,2.0,1584.0,586.0,998.0,13,4.871567964553833
80,1.0,1584.0,586.0,998.0,13,4.871567964553833
81,1.0,1584.0,586.0,998.0,13,4.871567964553833
82,1.0,1584.0,586.0,998.0,13,4.871567964553833
83,1.0,1584.0,586.0,998.0,13,4.871567964553833
84,1.0,1584.0,586.0,998.0,13,4.871567964553833
85,1.0,1584.0,586.0,998.0,13,4.871567964553833
86,1.0,1584.0,586.0,998.0,13,4.871567964553833
87,1.0,1584.0,586.0,998.0,13,4.871567964553833
88,1.0,1584.0,586.0,998.0,13,4.871567964553833
89,1.0,1584.0,586.0,998.0,13,4.871567964553833
90,0.0,1584.0,586.0,998.0,13,4.871567964553833
91,1.0,1584.0,586.0,998.0,13,4.871567964553833
92,1.0,1584.0,586.0,998.0,13,4.871567964553833
93,1.0,1584.0,586.0,998.0,13,4.871567964553833
94,1.0,1584.0,586.0,998.0,13,4.871567964553833
95,3.0,1584.0,586.0,998.0,13,4.871567964553833
96,2.0,1584.0,586.0,998.0,13,4.871567964553833
97,1.0,1584.0,586.0,998.0,13,4.871567964553833
98,2.0,1584.0,586.0,998.0,13,4.871567964553833
99,3.0,1584.0,586.0,998.0,13,4.871567964553833
100,1.0,1584.0,586.0,998.0,13,4.871567964553833
101,1.0,1584.0,586.0,998.0,13,4.871567964553833
102,1.0,1584.0,586.0,998.0,13,4.871567964553833
103,2.0,1584.0,586.0,998.0,13,4.871567964553833
104,1.0,1584.0,586.0,998.0,13,4.871567964553833
