iteration,PG_cost,PGGL_cost
0,11760.0,11760.0
1,8508.0,8481.0
2,7688.0,7701.0
3,7267.0,7249.0
4,7000.0,6963.0
5,6767.0,6750.0
6,6623.0,6611.0
7,6486.0,6473.0
8,6412.0,6372.0
9,6322.0,6282.0
10,6256.0,6222.0
11,6183.0,6173.0
12,6117.0,6122.0
13,6065.0,6076.0
14,6002.0,6037.0
15,5980.0,6009.0
16,5949.0,5966.0
17,5916.0,5918.0
18,5890.0,5882.0
19,5857.0,5859.0
20,5826.0,5836.0
21,5798.0,5810.0
22,5765.0,5788.0
23,5741.0,5771.0
24,5718.0,5748.0
25,5698.0,5724.0
26,5684.0,5715.0
27,5672.0,5690.0
28,5652.0,5677.0
29,5632.0,5660.0
30,5613.0,5646.0
31,5597.0,5632.0
32,5582.0,5616.0
33,5572.0,5615.0
34,5557.0,5603.0
35,5551.0,5589.0
36,5538.0,5563.0
37,5529.0,5551.0
38,5515.0,5540.0
39,5509.0,5528.0
40,5494.0,5518.0
41,5484.0,5506.0
42,5475.0,5498.0
43,5468.0,5487.0
44,5460.0,5478.0
45,5447.0,5474.0
46,5437.0,5468.0
47,5428.0,5458.0
48,5424.0,5451.0
49,5418.0,5447.0
50,5406.0,5444.0
51,5403.0,5444.0
52,5388.0,5436.0
53,5385.0,5418.0
54,5387.0,5418.0
55,5374.0,5410.0
56,5367.0,5405.0
57,5366.0,5393.0
58,5360.0,5386.0
59,5350.0,5379.0
60,5345.0,5374.0
61,5344.0,5366.0
62,5340.0,5361.0
63,5335.0,5354.0
64,5333.0,5351.0
65,5322.0,5353.0
66,5320.0,5346.0
67,5311.0,5339.0
68,5312.0,5335.0
69,5304.0,5326.0
70,5299.0,5326.0
71,5291.0,5325.0
72,5287.0,5324.0
73,5288.0,5316.0
74,5286.0,5312.0
75,5284.0,5310.0
76,5277.0,5305.0
77,5277.0,5302.0
78,5269.0,5300.0
79,5268.0,5299.0
80,5262.0,5292.0
81,5257.0,5295.0
82,5258.0,5293.0
83,5255.0,5283.0
84,5249.0,5279.0
85,5243.0,5274.0
86,5239.0,5271.0
87,5235.0,5269.0
88,5231.0,5272.0
89,5234.0,5268.0
90,5230.0,5264.0
91,5229.0,5263.0
92,5225.0,5260.0
93,5226.0,5257.0
94,5223.0,5255.0
95,5220.0,5253.0
96,5218.0,5251.0
97,5213.0,5251.0
98,5214.0,5251.0
99,5209.0,5246.0
100,5206.0,5246.0
101,5209.0,5875.0
102,5203.0,5528.0
103,5201.0,5455.0
104,5193.0,5402.0
105,5192.0,5361.0
106,5190.0,5335.0
107,5187.0,5317.0
108,5190.0,5299.0
109,5186.0,5282.0
110,5187.0,5275.0
111,5184.0,5269.0
112,5178.0,5265.0
113,5176.0,5263.0
114,5177.0,5260.0
115,5178.0,5249.0
116,5174.0,5247.0
117,5170.0,5244.0
118,5173.0,5241.0
119,5166.0,5238.0
120,5163.0,5236.0
121,5161.0,5236.0
122,5165.0,5228.0
123,5160.0,5226.0
124,5162.0,5217.0
125,5164.0,5221.0
126,5156.0,5207.0
127,5158.0,5204.0
128,5155.0,5203.0
129,5152.0,5199.0
130,5149.0,5200.0
131,5146.0,5202.0
132,5145.0,5200.0
133,5142.0,5194.0
134,5142.0,5190.0
135,5141.0,5190.0
136,5142.0,5184.0
137,5143.0,5183.0
138,5141.0,5181.0
139,5135.0,5175.0
140,5136.0,5174.0
141,5135.0,5168.0
142,5130.0,5171.0
143,5128.0,5164.0
144,5126.0,5160.0
145,5125.0,5158.0
146,5127.0,5160.0
147,5128.0,5152.0
148,5121.0,5154.0
149,5124.0,5150.0
150,5122.0,5144.0
151,5122.0,5809.0
152,5124.0,5424.0
153,5121.0,5364.0
154,5122.0,5309.0
155,5123.0,5272.0
156,5124.0,5263.0
157,5122.0,5247.0
158,5118.0,5238.0
159,5116.0,5228.0
160,5116.0,5223.0
161,5118.0,5216.0
162,5111.0,5208.0
163,5115.0,5202.0
164,5113.0,5187.0
165,5112.0,5165.0
166,5111.0,5160.0
167,5107.0,5152.0
168,5106.0,5152.0
169,5110.0,5141.0
170,5112.0,5136.0
171,5110.0,5137.0
172,5105.0,5130.0
173,5105.0,5124.0
174,5103.0,5121.0
175,5102.0,5115.0
176,5101.0,5114.0
177,5104.0,5111.0
178,5103.0,5102.0
179,5108.0,5101.0
180,5105.0,5098.0
181,5101.0,5093.0
182,5101.0,5087.0
183,5098.0,5083.0
184,5100.0,5080.0
185,5100.0,5080.0
186,5102.0,5079.0
187,5099.0,5077.0
188,5097.0,5077.0
189,5098.0,5077.0
190,5097.0,5075.0
191,5095.0,5073.0
192,5094.0,5069.0
193,5093.0,5062.0
194,5093.0,5065.0
195,5091.0,5062.0
196,5090.0,5061.0
197,5088.0,5059.0
198,5090.0,5059.0
199,5089.0,5059.0
200,5085.0,5055.0
201,5088.0,5788.0
202,5086.0,5395.0
203,5086.0,5278.0
204,5087.0,5228.0
205,5085.0,5210.0
206,5086.0,5184.0
207,5083.0,5176.0
208,5081.0,5155.0
209,5084.0,5150.0
210,5081.0,5143.0
211,5085.0,5136.0
212,5081.0,5128.0
213,5082.0,5119.0
214,5084.0,5107.0
215,5084.0,5112.0
216,5079.0,5107.0
217,5079.0,5105.0
218,5082.0,5098.0
219,5081.0,5094.0
220,5081.0,5090.0
221,5079.0,5082.0
222,5079.0,5080.0
223,5079.0,5078.0
224,5080.0,5074.0
225,5082.0,5071.0
226,5080.0,5066.0
227,5080.0,5063.0
228,5078.0,5057.0
229,5078.0,5049.0
230,5082.0,5049.0
231,5079.0,5050.0
232,5079.0,5049.0
233,5082.0,5041.0
234,5079.0,5039.0
235,5079.0,5034.0
236,5076.0,5037.0
237,5078.0,5029.0
238,5076.0,5030.0
239,5077.0,5022.0
240,5077.0,5026.0
241,5075.0,5021.0
242,5077.0,5014.0
243,5075.0,5010.0
244,5080.0,5011.0
245,5077.0,5006.0
246,5080.0,5007.0
247,5079.0,5007.0
248,5078.0,5006.0
249,5071.0,5004.0
250,5075.0,5001.0
251,5070.0,5661.0
252,5070.0,5293.0
253,5073.0,5214.0
254,5070.0,5177.0
255,5070.0,5145.0
256,5070.0,5121.0
257,5070.0,5104.0
258,5071.0,5095.0
259,5070.0,5081.0
260,5075.0,5076.0
261,5071.0,5070.0
262,5075.0,5072.0
263,5074.0,5064.0
264,5070.0,5061.0
265,5073.0,5046.0
266,5068.0,5035.0
267,5072.0,5035.0
268,5070.0,5028.0
269,5068.0,5022.0
270,5070.0,5019.0
271,5069.0,5013.0
272,5067.0,5007.0
273,5066.0,5006.0
274,5065.0,5007.0
275,5067.0,5006.0
276,5065.0,5007.0
277,5065.0,5006.0
278,5065.0,5003.0
279,5068.0,4997.0
280,5066.0,5001.0
281,5064.0,4987.0
282,5064.0,4984.0
283,5064.0,4985.0
284,5062.0,4989.0
285,5062.0,4978.0
286,5064.0,4974.0
287,5063.0,4974.0
288,5063.0,4971.0
289,5067.0,4972.0
290,5064.0,4971.0
291,5063.0,4964.0
292,5064.0,4963.0
293,5064.0,4963.0
294,5065.0,4959.0
295,5065.0,4958.0
296,5061.0,4955.0
297,5061.0,4957.0
298,5062.0,4959.0
299,5060.0,4953.0
300,5061.0,4955.0
301,5060.0,5629.0
302,5059.0,5225.0
303,5060.0,5139.0
304,5061.0,5093.0
305,5059.0,5071.0
306,5063.0,5064.0
307,5057.0,5048.0
308,5057.0,5031.0
309,5064.0,5019.0
310,5059.0,5014.0
311,5057.0,5005.0
312,5060.0,4997.0
313,5059.0,4997.0
